index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
20,public\ocr\books\class6-english\pages\page-015.json,TEXTBOOK_OCR,.json,25671,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,dda5ac204cfb0402e37274c20049656ad3ae122e746dada9fd645491d654cfb9
21,public\ocr\books\class6-english\pages\page-016.json,TEXTBOOK_OCR,.json,23770,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,518422a1e40bdeadc80264eace435fe5e9a8441b4048c70abf8e420603109c50
22,public\ocr\books\class6-english\pages\page-017.json,TEXTBOOK_OCR,.json,15208,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,d333b971e68d64020cc0732ec999a292bf33acf3adcbb02e10d810ec23816352
23,public\ocr\books\class6-english\pages\page-018.json,TEXTBOOK_OCR,.json,7754,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,96fdc99402746f339b3545dd1c41d07efea9548e6731fda55f6570e416a9d46d
24,public\ocr\books\class6-english\pages\page-019.json,TEXTBOOK_OCR,.json,23227,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,49128927aa826ebf3ce8cbae69550d92f0e17b2901d2d22e28b79b29542b0521
25,public\ocr\books\class6-english\pages\page-020.json,TEXTBOOK_OCR,.json,20795,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,71289ab1e39ecaa7d35a1f8142855e661134d4be48575365fa9b78aab8f4a95f
26,public\ocr\books\class6-english\pages\page-021.json,TEXTBOOK_OCR,.json,14578,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,2665cb82a86372d43551f53c03fea8ec9e76a703268a7b9a2b58355c97041a48
27,public\ocr\books\class6-english\pages\page-022.json,TEXTBOOK_OCR,.json,20030,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,055f1a4f9d8f1f6b60afbb2b9ccd6242c1a6b54b3256bd83bea09cbb9f798a57
28,public\ocr\books\class6-english\pages\page-023.json,TEXTBOOK_OCR,.json,21842,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,56c4819467aabd25156e0149a03ac6389c23c918b21fb236fcea27c791ba8f92
29,public\ocr\books\class6-english\pages\page-024.json,TEXTBOOK_OCR,.json,14776,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,62ef98e8f51f71d19218a9a817c5365afc84d5ba0d8eed80286aefd1104d8091
30,public\ocr\books\class6-english\pages\page-025.json,TEXTBOOK_OCR,.json,10297,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,cde6b37fcc8d53b4c3b4e56d3fbe59d9990da2c439ef6d97834f5d71d30c41a4
31,public\ocr\books\class6-english\pages\page-026.json,TEXTBOOK_OCR,.json,18959,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,db59e30a4271f958d4d8b3869223de2ad7591058f8ec5079f32a64507b0163d1
