record_id,book_id,class_level,subject,page_number,lesson_number,lesson_title,text_source,character_count,word_count,line_count,alpha_ratio,usable_for_rag,training_candidate,quality_flags,source_file,alternate_candidate_count,candidate_text_versions,text_sha256
class6-english-page-0024,class6-english,6,English,24,8,Grocery Shopping,aiReadyText,442,71,18,0.8054,True,True,,public\ocr\books\class6-english\pages\page-024.json,2,2,b661c44026c11bba234a40827553ca2bc4cff60bdb4ca2a7bcde3533ea0f24c9
class6-english-page-0025,class6-english,6,English,25,8,Grocery Shopping,aiReadyText,479,91,12,0.785,True,True,,public\ocr\books\class6-english\pages\page-025.json,2,2,4e1e8b16ef57b14ac78ba147a6636de67c1fca7b5e1e491186f50fd5c140b401
class6-english-page-0026,class6-english,6,English,26,8,Grocery Shopping,aiReadyText,887,156,22,0.779,True,True,,public\ocr\books\class6-english\pages\page-026.json,2,2,863724e2124a60abee02dd3f8676f979a1cf44dbaadca687f6f6ce1d9cf35568
class6-english-page-0027,class6-english,6,English,27,8,Grocery Shopping,aiReadyText,515,99,10,0.7184,True,True,,public\ocr\books\class6-english\pages\page-027.json,2,2,156a289a88b0acc1a79bcf467345a12462b69c5c34b23e4954b82e835a66dff3
class6-english-page-0028,class6-english,6,English,28,9,Health is Wealth,aiReadyText,979,183,24,0.7549,True,True,,public\ocr\books\class6-english\pages\page-028.json,2,2,e447062243eefc380d4edf6d839b0443f489f29f2095dbb3593ffaf52bb117a8
class6-english-page-0029,class6-english,6,English,29,9,Health is Wealth,aiReadyText,588,110,12,0.7585,True,True,,public\ocr\books\class6-english\pages\page-029.json,2,2,b811d27160faec3e9ae79b210b14bfd9deab1bef79a94706033f40df7dcb1655
class6-english-page-0030,class6-english,6,English,30,9,Health is Wealth,aiReadyText,605,112,14,0.7719,True,True,,public\ocr\books\class6-english\pages\page-030.json,2,2,89edd8f967decaaf7d2b8e026d9abfc2272ea314d3421142aa24259436068e4a
class6-english-page-0031,class6-english,6,English,31,9,Health is Wealth,aiReadyText,784,150,17,0.7194,True,True,,public\ocr\books\class6-english\pages\page-031.json,2,2,429ef7ff5ae94619b5efcd2c49f133f93f8a61f4f489402b51ccf1900c74e4ca
class6-english-page-0032,class6-english,6,English,32,9,Health is Wealth,aiReadyText,469,82,12,0.7548,True,True,,public\ocr\books\class6-english\pages\page-032.json,2,2,c16412d58d5f6c79a3923b3863ffd6b9d316f30f1955f60666121d9733216e01
class6-english-page-0033,class6-english,6,English,33,10,Remedies: Modern and Traditional,aiReadyText,687,121,15,0.7846,True,True,,public\ocr\books\class6-english\pages\page-033.json,2,2,95b08577453fd72d5e1916b4ee551450ff02728e50f639c35fabe8443eb52c4f
class6-english-page-0034,class6-english,6,English,34,10,Remedies: Modern and Traditional,aiReadyText,745,144,21,0.7651,True,True,,public\ocr\books\class6-english\pages\page-034.json,2,2,c1fb154216d67f8aefd67c05c5f2d2da7093a927c71384227c41d8c8828ec245
class6-english-page-0035,class6-english,6,English,35,10,Remedies: Modern and Traditional,aiReadyText,863,157,19,0.7856,True,True,,public\ocr\books\class6-english\pages\page-035.json,2,2,e6fb03d623ccd394280dc89b06dcef79b293bc22d9bd91360148f18439237f02
class6-english-page-0036,class6-english,6,English,36,10,Remedies: Modern and Traditional,aiReadyText,974,160,20,0.7998,True,True,,public\ocr\books\class6-english\pages\page-036.json,2,2,64489bc4337d9d14c06c8c377e2a735760fe5256bb09f6a641cd0e3905e5cbef
